decoder,shot,converged,iterations,legs,successful_legs,selected_weight,candidate_weights,sampled_error_weight,syndrome_weight
relay_s1_paper_interval,18,1,5,1,1,38.23708558818801,[38.23708558818801],11,27
relay_s1_paper_interval,19,1,3,1,1,27.808789518682186,[27.808789518682186],8,20
relay_s1_paper_interval,20,1,10,1,1,52.1414803475291,[52.1414803475291],15,37
relay_s1_paper_interval,21,1,5,1,1,27.808789518682186,[27.808789518682186],8,24
relay_s1_paper_interval,22,1,3,1,1,34.76098689835273,[34.76098689835273],10,26
relay_s1_paper_interval,23,1,3,1,1,31.284888208517458,[31.284888208517458],9,21
relay_s1_paper_interval,24,1,2,1,1,13.904394759341093,[13.904394759341093],4,10
relay_s1_paper_interval,25,1,3,1,1,31.284888208517458,[31.284888208517458],9,23
relay_s1_paper_interval,26,1,3,1,1,27.808789518682186,[27.808789518682186],8,20
relay_s1_paper_interval,27,1,2,1,1,27.808789518682186,[27.808789518682186],8,22
relay_s1_paper_interval,28,1,7,1,1,34.76098689835273,[34.76098689835273],10,24
relay_s1_paper_interval,29,1,14,1,1,52.1414803475291,[52.1414803475291],15,41
relay_s1_paper_interval,30,1,5,1,1,45.18928296785855,[45.18928296785855],13,31
relay_s1_paper_interval,31,1,3,1,1,34.76098689835273,[34.76098689835273],10,28
relay_s1_paper_interval,32,1,4,1,1,34.76098689835273,[34.76098689835273],10,28
relay_s1_paper_interval,33,1,3,1,1,31.284888208517458,[31.284888208517458],9,23
relay_s1_paper_interval,34,1,3,1,1,20.85659213901164,[20.85659213901164],6,18
relay_s1_paper_interval,35,1,7,1,1,45.18928296785855,[45.18928296785855],13,35
relay_s1_paper_interval,36,1,7,1,1,20.85659213901164,[20.85659213901164],6,14
relay_s1_paper_interval,37,1,18,1,1,59.09367772719965,[59.09367772719965],17,45
relay_s1_paper_interval,38,1,4,1,1,34.76098689835273,[34.76098689835273],10,24
relay_s1_paper_interval,39,1,1,1,1,10.42829606950582,[10.42829606950582],3,7
relay_s1_paper_interval,40,1,2,1,1,13.904394759341093,[13.904394759341093],4,12
relay_s1_paper_interval,41,1,3,1,1,31.284888208517458,[31.284888208517458],9,23
relay_s1_paper_interval,42,1,14,1,1,45.18928296785855,[45.18928296785855],13,25
relay_s1_paper_interval,43,1,5,1,1,45.18928296785855,[45.18928296785855],13,33
relay_s1_paper_interval,44,1,5,1,1,45.18928296785855,[45.18928296785855],13,33
relay_s1_paper_interval,45,1,4,1,1,27.808789518682186,[27.808789518682186],8,24
relay_s1_paper_interval,46,1,19,1,1,45.18928296785855,[45.18928296785855],13,25
relay_s1_paper_interval,47,1,9,1,1,52.1414803475291,[52.1414803475291],15,39
relay_s1_paper_interval,48,1,2,1,1,17.380493449176367,[17.380493449176367],5,15
relay_s1_paper_interval,49,1,12,1,1,24.332690828846914,[24.332690828846914],7,15
relay_s1_paper_interval,50,1,8,1,1,38.23708558818801,[38.23708558818801],11,31
relay_s1_paper_interval,51,1,3,1,1,31.284888208517458,[31.284888208517458],9,25
relay_s1_paper_interval,52,1,2,1,1,10.42829606950582,[10.42829606950582],3,9
relay_s1_paper_interval,53,1,2,1,1,20.85659213901164,[20.85659213901164],6,16
relay_s1_paper_interval,54,1,2,1,1,20.85659213901164,[20.85659213901164],6,16
relay_s1_paper_interval,55,1,2,1,1,31.284888208517458,[31.284888208517458],9,27
relay_s1_paper_interval,56,1,8,1,1,31.284888208517458,[31.284888208517458],9,23
relay_s1_paper_interval,57,1,6,1,1,34.76098689835273,[34.76098689835273],10,22
relay_s1_paper_interval,58,1,2,1,1,24.332690828846914,[24.332690828846914],7,21
relay_s1_paper_interval,59,1,2,1,1,17.380493449176367,[17.380493449176367],5,15
relay_s1_paper_interval,60,1,5,1,1,38.23708558818801,[38.23708558818801],11,27
relay_s1_paper_interval,61,1,8,1,1,45.18928296785855,[45.18928296785855],13,29
relay_s1_paper_interval,62,1,5,1,1,41.71318427802328,[41.71318427802328],12,28
relay_s1_paper_interval,63,1,3,1,1,24.33269082884691,[24.33269082884691],7,19
relay_s3_paper_interval,0,1,15,3,3,27.808789518682186,"[27.808789518682186, 27.808789518682186, 27.808789518682186]",8,22
relay_s3_paper_interval,1,1,5,3,3,20.85659213901164,"[20.85659213901164, 20.85659213901164, 20.85659213901164]",6,16
relay_s3_paper_interval,2,1,9,3,3,13.904394759341093,"[13.904394759341093, 13.904394759341093, 13.904394759341093]",4,10
relay_s3_paper_interval,3,1,7,3,3,20.85659213901164,"[20.85659213901164, 20.85659213901164, 20.85659213901164]",6,18
relay_s3_paper_interval,4,1,9,3,3,27.808789518682186,"[27.808789518682186, 27.808789518682186, 27.808789518682186]",8,24
relay_s3_paper_interval,5,1,10,3,3,17.380493449176367,"[17.380493449176367, 17.380493449176367, 17.380493449176367]",5,15
relay_s3_paper_interval,6,1,123,3,3,59.09367772719965,"[59.09367772719965, 59.09367772719965, 59.09367772719965]",17,35
relay_s3_paper_interval,7,1,12,3,3,34.76098689835273,"[34.76098689835273, 34.76098689835273, 34.76098689835273]",10,26
relay_s3_paper_interval,8,1,7,3,3,20.85659213901164,"[20.85659213901164, 20.85659213901164, 20.85659213901164]",6,14
relay_s3_paper_interval,9,1,10,3,3,31.284888208517458,"[31.284888208517458, 31.284888208517458, 31.284888208517458]",9,21
relay_s3_paper_interval,10,1,11,3,3,34.76098689835273,"[34.76098689835273, 34.76098689835273, 34.76098689835273]",10,26
relay_s3_paper_interval,11,1,7,3,3,17.380493449176367,"[17.380493449176367, 17.380493449176367, 17.380493449176367]",5,15
relay_s3_paper_interval,12,1,7,3,3,24.332690828846914,"[24.332690828846914, 24.332690828846914, 24.332690828846914]",7,19
relay_s3_paper_interval,13,1,6,3,3,13.904394759341093,"[13.904394759341093, 13.904394759341093, 13.904394759341093]",4,12
relay_s3_paper_interval,14,1,20,3,3,27.808789518682186,"[27.808789518682186, 27.808789518682186, 27.808789518682186]",8,24
relay_s3_paper_interval,15,1,5,3,3,13.904394759341093,"[13.904394759341093, 13.904394759341093, 13.904394759341093]",4,12
relay_s3_paper_interval,16,1,30,3,3,38.23708558818801,"[38.23708558818801, 38.23708558818801, 38.23708558818801]",11,27
relay_s3_paper_interval,17,1,6,3,3,24.33269082884691,"[24.33269082884691, 24.33269082884691, 24.33269082884691]",7,19
relay_s3_paper_interval,18,1,11,3,3,38.23708558818801,"[38.23708558818801, 38.23708558818801, 38.23708558818801]",11,27
relay_s3_paper_interval,19,1,6,3,3,27.808789518682186,"[27.808789518682186, 27.808789518682186, 27.808789518682186]",8,20
relay_s3_paper_interval,20,1,37,3,3,52.1414803475291,"[52.1414803475291, 52.1414803475291, 52.1414803475291]",15,37
relay_s3_paper_interval,21,1,25,3,3,27.808789518682186,"[27.808789518682186, 27.808789518682186, 27.808789518682186]",8,24
relay_s3_paper_interval,22,1,9,3,3,34.76098689835273,"[34.76098689835273, 34.76098689835273, 34.76098689835273]",10,26
relay_s3_paper_interval,23,1,12,3,3,31.284888208517458,"[31.284888208517458, 31.284888208517458, 31.284888208517458]",9,21
relay_s3_paper_interval,24,1,6,3,3,13.904394759341093,"[13.904394759341093, 13.904394759341093, 13.904394759341093]",4,10
relay_s3_paper_interval,25,1,12,3,3,31.284888208517458,"[31.284888208517458, 31.284888208517458, 31.284888208517458]",9,23
