observation_type,stratum,target,stagnation_threshold,eligible,positives,probability,tp,fp,tn,fn,precision,recall,specificity,false_positive_rate,false_negative_rate,balanced_accuracy
iteration,outcome=failure,4,80,5460,4916,0.9003663003663004,4611,131,413,305,0.9723745255166596,0.9379576891781937,0.7591911764705882,0.24080882352941177,0.06204231082180635,0.8485744328243909
iteration,outcome=failure,4,120,5460,4916,0.9003663003663004,4491,65,479,425,0.9857330992098332,0.9135475996745321,0.8805147058823529,0.11948529411764706,0.08645240032546786,0.8970311527784425
iteration,outcome=failure,4,180,5460,4916,0.9003663003663004,4311,5,539,605,0.9988415199258572,0.8769324654190399,0.9908088235294118,0.009191176470588236,0.12306753458096013,0.9338706444742259
iteration,outcome=failure,4,240,5460,4916,0.9003663003663004,4131,0,544,785,1.0,0.8403173311635476,1.0,0.0,0.1596826688364524,0.9201586655817737
iteration,period=early_legs_1_2,1,10,7000,2680,0.38285714285714284,1340,1842,2478,1340,0.42111879321181644,0.5,0.5736111111111111,0.4263888888888889,0.5,0.5368055555555555
iteration,period=early_legs_1_2,1,20,7000,2680,0.38285714285714284,971,1203,3117,1709,0.4466421343146274,0.3623134328358209,0.7215277777777778,0.27847222222222223,0.6376865671641792,0.5419206053067993
iteration,period=early_legs_1_2,1,40,7000,2680,0.38285714285714284,502,529,3791,2178,0.486905916585839,0.1873134328358209,0.8775462962962963,0.1224537037037037,0.8126865671641791,0.5324298645660586
iteration,period=early_legs_1_2,1,60,7000,2680,0.38285714285714284,268,224,4096,2412,0.5447154471544715,0.1,0.9481481481481482,0.05185185185185185,0.9,0.5240740740740741
iteration,period=early_legs_1_2,1,80,7000,2680,0.38285714285714284,105,76,4244,2575,0.580110497237569,0.03917910447761194,0.9824074074074074,0.017592592592592594,0.960820895522388,0.5107932559425097
iteration,period=early_legs_1_2,1,120,7000,2680,0.38285714285714284,0,0,4320,2680,,0.0,1.0,0.0,1.0,0.5
iteration,period=early_legs_1_2,1,180,7000,2680,0.38285714285714284,0,0,4320,2680,,0.0,1.0,0.0,1.0,0.5
iteration,period=early_legs_1_2,1,240,7000,2680,0.38285714285714284,0,0,4320,2680,,0.0,1.0,0.0,1.0,0.5
iteration,period=early_legs_1_2,2,10,7000,1480,0.21142857142857144,885,2297,3223,595,0.2781269641734758,0.597972972972973,0.5838768115942029,0.4161231884057971,0.40202702702702703,0.5909248922835879
iteration,period=early_legs_1_2,2,20,7000,1480,0.21142857142857144,635,1539,3981,845,0.2920883164673413,0.42905405405405406,0.721195652173913,0.27880434782608693,0.5709459459459459,0.5751248531139835
iteration,period=early_legs_1_2,2,40,7000,1480,0.21142857142857144,265,766,4754,1215,0.25703200775945684,0.17905405405405406,0.861231884057971,0.13876811594202898,0.8209459459459459,0.5201429690560125
iteration,period=early_legs_1_2,2,60,7000,1480,0.21142857142857144,132,360,5160,1348,0.2682926829268293,0.0891891891891892,0.9347826086956522,0.06521739130434782,0.9108108108108108,0.5119858989424207
iteration,period=early_legs_1_2,2,80,7000,1480,0.21142857142857144,49,132,5388,1431,0.27071823204419887,0.03310810810810811,0.9760869565217392,0.02391304347826087,0.9668918918918918,0.5045975323149237
iteration,period=early_legs_1_2,2,120,7000,1480,0.21142857142857144,0,0,5520,1480,,0.0,1.0,0.0,1.0,0.5
iteration,period=early_legs_1_2,2,180,7000,1480,0.21142857142857144,0,0,5520,1480,,0.0,1.0,0.0,1.0,0.5
iteration,period=early_legs_1_2,2,240,7000,1480,0.21142857142857144,0,0,5520,1480,,0.0,1.0,0.0,1.0,0.5
iteration,period=early_legs_1_2,3,10,7000,860,0.12285714285714286,526,2656,3484,334,0.16530483972344437,0.6116279069767442,0.5674267100977198,0.4325732899022801,0.3883720930232558,0.589527308537232
iteration,period=early_legs_1_2,3,20,7000,860,0.12285714285714286,380,1794,4346,480,0.17479300827966882,0.4418604651162791,0.7078175895765473,0.2921824104234528,0.5581395348837209,0.5748390273464132
iteration,period=early_legs_1_2,3,40,7000,860,0.12285714285714286,164,867,5273,696,0.15906886517943744,0.19069767441860466,0.8587947882736157,0.14120521172638437,0.8093023255813954,0.5247462313461102
iteration,period=early_legs_1_2,3,60,7000,860,0.12285714285714286,74,418,5722,786,0.15040650406504066,0.08604651162790698,0.9319218241042345,0.06807817589576547,0.913953488372093,0.5089841678660707
