configuration,policy,state_percentile,shot,syndrome_converged,logically_correct,logical_classification_agrees_with_float,correction_hamming_distance,iterations,relay_legs,relay_legs_agree_with_float,edge_saturation,state_saturation,guard_saturation,state_deliberately_clipped,state_clip_candidates,state_nonzero_to_zero,state_value_count,edge_nonzero_to_zero,edge_value_count,edge_exponent_min,edge_exponent_max,state_exponent_min,state_exponent_max,threshold_bucket_equal,threshold_bucket_above
balanced,B_p99p9,99.9,7,1,1,1,35,163,3,0,0,0,0,21930,22087152,3243809,22087152,391320,127570320,0,9,0,9,342180,2482
balanced,B_p99p9,99.9,8,1,1,1,49,242,4,0,0,0,0,32286,32791968,3327934,32791968,391320,189398880,0,28,0,28,823918,4343
balanced,B_p99p9,99.9,9,1,1,1,39,471,8,0,0,0,0,62482,63822384,3646545,63822384,391320,368623440,0,30,0,30,1277850,5736
balanced,B_p99p9,99.9,10,1,1,1,44,135,2,0,0,0,0,14221,18293040,3501129,18293040,391320,105656400,0,25,0,25,389804,1398
balanced,B_p99p9,99.9,11,1,1,1,39,161,3,0,0,0,0,20035,21816144,3190603,21816144,391320,126005040,0,29,0,29,502202,913
balanced,B_p99p9,99.9,12,1,1,1,45,110,2,0,0,0,0,14708,14905440,2514339,14905440,391320,86090400,0,10,0,10,262466,1653
balanced,B_p99p9,99.9,13,1,1,1,53,117,2,0,0,0,0,15653,15853968,1150024,15853968,391320,91568880,0,8,0,8,222674,2118
balanced,B_p99p9,99.9,14,1,1,1,27,20,1,1,0,0,0,2572,2710080,235,2710080,0,15652800,0,2,0,1,67491,245
balanced,B_p99p9,99.9,15,1,1,1,59,121,2,0,0,0,0,16256,16395984,152276,16395984,391320,94699440,0,7,0,6,245147,1181
balanced,B_p99p9,99.9,16,1,1,1,32,136,2,0,0,0,0,17592,18428544,3226480,18428544,391320,106439040,0,29,0,29,367713,825
balanced,B_p99p9,99.9,17,1,1,1,41,175,3,0,0,0,0,23135,23713200,3836713,23713200,391320,136962000,0,33,0,33,597782,954
balanced,B_p99p9,99.9,18,1,1,1,65,231,4,0,0,0,0,30143,31301424,3348875,31301424,391320,180789840,0,29,0,29,631449,2255
balanced,B_p99p9,99.9,19,1,1,1,16,23,1,1,0,0,0,2981,3116592,200,3116592,0,18000720,0,2,0,2,110110,166
balanced,B_p99p9,99.9,20,1,1,1,17,158,3,0,0,0,0,20344,21409632,3399115,21409632,391320,123657120,0,29,0,29,386559,1410
balanced,B_p99p9,99.9,21,1,1,1,0,15,1,1,0,0,0,1873,2032560,75,2032560,0,11739600,0,2,0,1,118854,322
balanced,B_p99p9,99.9,22,1,1,1,29,137,2,0,0,0,0,16858,18564048,3810500,18564048,391320,107221680,0,32,0,32,324234,1133
balanced,B_p99p9,99.9,23,1,1,1,33,165,3,0,0,0,0,20694,22358160,3145164,22358160,391320,129135600,0,28,0,28,526358,1590
balanced,B_p99p9,99.9,24,1,1,1,27,137,2,0,0,0,0,17941,18564048,3437990,18564048,391320,107221680,0,29,0,29,393902,711
balanced,B_p99p9,99.9,25,1,1,1,22,166,3,0,0,0,0,21862,22493664,3443132,22493664,391320,129918240,0,29,0,29,477864,1344
balanced,B_p99p9,99.9,26,1,1,1,48,163,3,0,0,0,0,21630,22087152,3360585,22087152,391320,127570320,0,29,0,29,494740,654
balanced,B_p99p9,99.9,27,1,1,1,24,139,2,0,0,0,0,18463,18835056,3464628,18835056,391320,108786960,0,31,0,31,323035,1369
balanced,B_p99p9,99.9,28,1,1,1,27,199,3,0,0,0,0,25756,26965296,3516374,26965296,391320,155745360,0,31,0,31,550501,1902
balanced,B_p99p9,99.9,29,1,1,1,54,180,3,0,0,0,0,23741,24390720,3753693,24390720,391320,140875200,0,31,0,31,417514,2298
balanced,B_p99p9,99.9,30,1,1,1,7,18,1,1,0,0,0,2291,2439072,117,2439072,0,14087520,0,2,0,2,159033,305
balanced,B_p99p9,99.9,31,1,1,1,13,158,3,0,0,0,0,18957,21409632,3874448,21409632,391320,123657120,0,32,0,32,487151,884
balanced,B_p99p9,99.9,32,1,1,1,24,159,3,0,0,0,0,20529,21545136,3947912,21545136,391320,124439760,0,33,0,33,457896,431
balanced,B_p99p9,99.9,33,1,1,1,7,14,1,1,0,0,0,1748,1897056,106,1897056,0,10956960,0,1,0,0,91671,74
balanced,B_p99p9,99.9,34,1,1,1,41,183,3,0,0,0,0,23574,24797232,3827693,24797232,391320,143223120,0,30,0,30,588978,957
balanced,B_p99p9,99.9,35,1,1,1,43,233,4,0,0,0,0,30389,31572432,3179301,31572432,391320,182355120,0,27,0,27,961280,1533
balanced,B_p99p9,99.9,36,1,1,1,28,28,1,1,0,0,0,3643,3794112,347,3794112,0,21913920,0,3,0,3,82806,276
balanced,B_p99p9,99.9,37,1,1,0,63,419,7,0,0,0,0,56602,56776176,598249,56776176,391320,327926160,0,7,0,6,942706,7231
balanced,B_p99p9,99.9,38,1,1,1,54,245,4,0,0,0,0,32879,33198480,1095719,33198480,391320,191746800,0,10,0,9,572385,4861
balanced,B_p99p9,99.9,39,1,1,1,30,133,2,0,0,0,0,17037,18022032,3154532,18022032,391320,104091120,0,28,0,28,346512,614
balanced,B_p99p9,99.9,40,1,1,1,24,162,3,0,0,0,0,21552,21951648,3514993,21951648,391320,126787680,0,31,0,31,428699,926
balanced,B_p99p9,99.9,41,1,1,1,17,155,3,0,0,0,0,19980,21003120,3852201,21003120,391320,121309200,0,31,0,31,553472,1549
