configuration,b,M,shot,syndrome_converged,logically_correct,logical_classification_agrees_with_float,decision_agrees_with_float,decision_hamming_distance,iterations,relay_legs,iterations_agree_with_float,legs_agree_with_float,selected_solution_weight,saturation_physical_prior,saturation_lambda_bias,saturation_check_messages,saturation_guard_accumulator,saturation_variable_messages,saturation_marginals
balanced,8,16,28,1,1,1,0,34,116,2,0,0,364.9571023162561,0,0,0,0,35169801,6117345
balanced,8,16,29,1,1,1,0,39,29,1,0,1,342.08492718851875,0,0,0,0,8049009,1399636
balanced,8,16,30,1,1,1,0,7,17,1,0,1,332.7156967748629,0,0,0,0,3753425,655695
balanced,8,16,31,1,1,1,0,7,26,1,0,1,282.4417930129109,0,0,0,0,7243362,1258666
balanced,8,16,32,1,1,1,0,16,23,1,0,1,353.87693487265017,0,0,0,0,6065842,1053352
balanced,8,16,33,1,1,1,0,7,17,1,0,1,351.2539752513059,0,0,0,0,3653830,638718
balanced,8,16,34,1,1,1,0,32,213,4,0,1,348.51178531367333,0,0,0,0,65742408,11384821
balanced,8,16,35,1,1,1,0,24,45,1,0,1,441.364641160651,0,0,0,0,13205021,2287308
balanced,8,16,36,1,1,1,0,15,44,1,0,1,385.2338679066979,0,0,0,0,12936596,2244081
balanced,8,16,37,0,0,1,0,56,980,16,1,1,,0,0,0,0,265250862,46395220
balanced,8,16,38,1,1,1,0,43,524,9,0,0,419.3679313544407,0,0,0,0,154656250,26725384
balanced,8,16,39,1,1,1,0,19,25,1,0,1,343.76950382381267,0,0,0,0,6083930,1063112
balanced,8,16,40,1,1,1,0,11,16,1,0,1,280.6114019145944,0,0,0,0,3385899,593530
balanced,8,16,41,1,1,1,0,13,18,1,1,1,293.7052144960676,0,0,0,0,4458188,775453
balanced,8,16,42,1,1,1,0,21,47,1,0,1,328.7853623556117,0,0,0,0,14563590,2521109
balanced,8,16,43,1,1,1,0,12,29,1,0,1,327.8708032616791,0,0,0,0,7963834,1379322
balanced,8,16,44,1,1,1,0,32,32,1,0,1,415.53792045987825,0,0,0,0,8710749,1509091
balanced,8,16,45,1,1,1,0,10,21,1,0,1,260.790073795145,0,0,0,0,5482905,955518
balanced,8,16,46,1,1,1,0,36,137,2,0,0,461.97342813555383,0,0,0,0,43531744,7530419
balanced,8,16,47,1,1,1,0,32,274,5,0,0,311.34335656044755,0,0,0,0,85106454,14690293
balanced,8,16,48,1,1,1,0,32,31,1,0,1,411.17963838383093,0,0,0,0,8237423,1432299
balanced,8,16,49,1,1,1,0,14,29,1,0,1,383.9185769363319,0,0,0,0,7304796,1276143
balanced,8,16,50,1,1,1,0,16,30,1,0,1,317.9132485500227,0,0,0,0,8489218,1470459
balanced,8,16,51,1,1,1,0,9,30,1,0,1,263.7509668181009,0,0,0,0,8579352,1489636
balanced,8,16,52,1,1,1,0,16,41,1,0,1,296.2232499367866,0,0,0,0,12906689,2233360
balanced,8,16,53,1,1,1,0,13,48,1,0,1,340.8877484362215,0,0,0,0,15092629,2612949
balanced,8,16,54,1,1,1,0,18,30,1,0,1,388.574463848896,0,0,0,0,8216351,1423199
balanced,8,16,55,1,1,1,0,26,36,1,0,1,391.83426521971865,0,0,0,0,10145595,1755147
balanced,8,16,56,1,1,1,0,31,29,1,0,0,330.546580202735,0,0,0,0,8078526,1396008
balanced,8,16,57,1,1,1,0,29,17,1,0,1,319.78759681830473,0,0,0,0,3588861,626478
balanced,8,16,58,1,1,1,0,21,28,1,0,1,317.1992605606455,0,0,0,0,7490547,1300183
balanced,8,16,59,1,1,1,0,43,44,1,0,1,442.29743084299844,0,0,0,0,12360697,2147821
balanced,8,16,60,1,1,1,0,25,236,4,0,0,329.48412167969246,0,0,0,0,75748257,13054293
balanced,8,16,61,1,1,1,0,40,230,4,0,1,447.34383234382517,0,0,0,0,65997288,11499518
balanced,8,16,62,1,1,1,0,26,35,1,0,1,375.23815819477284,0,0,0,0,9728730,1690556
balanced,8,16,63,1,1,1,0,38,117,2,0,0,411.16429265335654,0,0,0,0,35835527,6216514
balanced,8,16,64,1,1,1,0,10,21,1,0,1,292.47487136357347,0,0,0,0,5071356,886885
balanced,8,16,65,1,1,1,0,12,15,1,0,1,285.58125895758644,0,0,0,0,3047987,533852
balanced,8,16,66,1,1,1,0,12,33,1,0,1,306.2017227738768,0,0,0,0,9534703,1648692
balanced,8,16,67,1,1,1,0,13,35,1,0,1,430.6190126023324,0,0,0,0,9748457,1690032
balanced,8,16,68,1,1,1,0,9,24,1,0,1,285.73332162990243,0,0,0,0,6361137,1106456
balanced,8,16,69,1,1,1,0,23,36,1,0,1,371.4201925964611,0,0,0,0,10390580,1797246
balanced,8,16,70,1,1,1,0,25,40,1,0,1,307.2022832024958,0,0,0,0,11747803,2039566
balanced,8,16,71,1,1,1,0,8,24,1,0,1,228.5749587491972,0,0,0,0,6623029,1150623
balanced,8,16,72,1,1,1,0,16,22,1,0,1,370.64213244020436,0,0,0,0,4933830,860263
balanced,8,16,73,1,1,1,0,12,40,1,0,1,271.09474733407797,0,0,0,0,12028968,2088059
balanced,8,16,74,1,1,1,0,26,42,1,0,1,438.8387048398205,0,0,0,0,12526649,2168765
balanced,8,16,75,1,1,1,0,26,126,2,0,1,410.7013104433478,0,0,0,0,40357007,6977113
balanced,8,16,76,1,1,1,0,17,29,1,0,1,386.6004632550951,0,0,0,0,7120893,1241700
balanced,8,16,77,1,1,1,0,18,39,1,0,1,341.35240873970747,0,0,0,0,11702917,2027488
balanced,8,16,78,1,1,1,0,33,115,2,0,1,302.3428487680584,0,0,0,0,37266828,6449132
balanced,8,16,79,1,1,1,0,26,47,1,0,1,303.32468129049903,0,0,0,0,15069873,2603393
balanced,8,16,80,1,1,1,0,18,20,1,0,1,384.1977355660755,0,0,0,0,4382302,765286
balanced,8,16,81,1,1,1,0,18,28,1,0,1,378.978317567707,0,0,0,0,7232159,1257285
balanced,8,16,82,1,1,1,0,12,35,1,0,1,314.07108307873284,0,0,0,0,10557156,1830938
balanced,8,16,83,1,1,1,0,17,22,1,0,1,404.13317694081593,0,0,0,0,4804364,841986
balanced,8,16,84,1,1,1,0,23,46,1,0,1,415.59369971343506,0,0,0,0,13481450,2335963
balanced,8,16,85,1,1,1,0,17,19,1,0,1,214.33441560825503,0,0,0,0,5038013,877812
balanced,8,16,86,1,1,1,0,16,35,1,0,1,315.43982862278983,0,0,0,0,10079107,1743518
balanced,8,16,87,1,1,1,0,17,37,1,0,0,303.125243753404,0,0,0,0,11064285,1916954
balanced,8,16,88,1,1,1,0,23,28,1,0,1,340.3919498461496,0,0,0,0,7533339,1307406
balanced,8,16,89,1,1,1,0,33,110,2,0,0,396.0314596836049,0,0,0,0,33722259,5846756
balanced,8,16,90,1,1,1,0,20,21,1,0,1,304.36271079121286,0,0,0,0,4829303,845811
balanced,8,16,91,1,1,1,0,58,234,4,0,0,515.2205070224659,0,0,0,0,60495075,10590137
balanced,8,16,92,1,1,1,0,20,41,1,0,1,322.7155043235801,0,0,0,0,12545092,2175090
balanced,8,16,93,1,1,1,0,22,21,1,0,1,330.4522182724087,0,0,0,0,5185600,900673
balanced,8,16,94,1,1,1,0,30,31,1,0,1,344.76009683693974,0,0,0,0,8093712,1408852
balanced,8,16,95,1,1,1,0,12,17,1,0,1,348.3839892393951,0,0,0,0,3721383,650316
balanced,8,16,96,1,1,1,0,40,168,3,0,0,336.7103576752179,0,0,0,0,52217111,9022851
balanced,8,16,97,1,1,1,0,55,33,1,0,0,466.1886615022887,0,0,0,0,9605782,1660607
balanced,8,16,98,1,1,1,0,19,22,1,0,1,327.33594158445766,0,0,0,0,5385337,939239
balanced,8,16,99,1,1,1,0,36,25,1,0,1,355.7805720157923,0,0,0,0,5856031,1033241
balanced,8,16,100,1,1,1,0,49,35,1,0,0,376.2285641786908,0,0,0,0,9961391,1731258
balanced,8,16,101,1,1,1,0,22,98,2,0,0,332.0975282132058,0,0,0,0,30861037,5335380
balanced,8,16,102,1,1,1,0,21,26,1,0,0,272.6439639243604,0,0,0,0,7815189,1351355
balanced,8,16,103,1,1,1,0,45,295,5,0,0,416.3414611221758,0,0,0,0,89334660,15461830
balanced,8,16,104,1,1,1,0,13,25,1,0,1,290.83895956349977,0,0,0,0,6710388,1167069
balanced,8,16,105,1,1,1,0,30,31,1,0,1,422.2582574949289,0,0,0,0,8111172,1408130
balanced,8,16,106,1,1,1,0,24,32,1,0,1,308.1091799185616,0,0,0,0,9031560,1569111
balanced,8,16,107,1,1,1,0,28,55,1,0,0,296.3432288872443,0,0,0,0,17941577,3101331
balanced,8,16,108,1,1,1,0,32,18,1,0,0,357.0339576978198,0,0,0,0,3428272,604660
balanced,8,16,109,1,1,1,0,19,38,1,0,1,368.5845542802915,0,0,0,0,10102067,1760174
balanced,8,16,110,1,1,1,0,27,37,1,0,1,441.6374304536615,0,0,0,0,9739003,1696560
balanced,8,16,111,1,1,1,0,23,37,1,0,1,398.0083123076955,0,0,0,0,10433062,1811538
balanced,8,16,112,1,1,1,0,12,28,1,0,1,330.3181042673114,0,0,0,0,7415643,1283819
balanced,8,16,113,1,1,1,0,9,41,1,0,1,280.98431817549726,0,0,0,0,12857758,2226498
balanced,8,16,114,1,1,1,0,49,249,4,0,0,387.18302710142507,0,0,0,0,77120302,13333536
balanced,8,16,115,1,1,1,0,17,30,1,0,1,280.29823150691584,0,0,0,0,8598426,1493181
balanced,8,16,116,1,1,1,0,6,25,1,0,1,323.21488746233183,0,0,0,0,6426053,1117882
balanced,8,16,117,1,1,1,0,46,170,3,0,0,407.9257506563103,0,0,0,0,51662448,8936201
balanced,8,16,118,1,1,1,0,18,24,1,0,1,347.4686720716745,0,0,0,0,6117251,1062447
balanced,8,16,119,1,1,1,0,17,22,1,0,1,291.67056369975626,0,0,0,0,5720641,992799
balanced,8,16,120,1,1,1,0,18,56,1,0,1,292.9333712977218,0,0,0,0,18411750,3173575
balanced,8,16,121,1,1,1,0,27,32,1,0,1,442.7166953769953,0,0,0,0,8440111,1463478
balanced,8,16,122,1,1,1,0,12,48,1,0,1,337.08276075473293,0,0,0,0,15585814,2687547
balanced,8,16,123,1,1,1,0,13,18,1,0,1,365.0605178432185,0,0,0,0,3184573,565547
