configuration,b,M,guard_bits,shot,syndrome_converged,logically_correct,decision_agrees_with_float,decision_hamming_distance,iterations,relay_legs,iterations_agree_with_float,legs_agree_with_float,selected_solution_weight,saturation_physical_prior,saturation_lambda_bias,saturation_check_messages,saturation_guard_accumulator,saturation_variable_messages,saturation_marginals
balanced,4,8,4,96,1,1,0,24,106,2,0,0,331.2004339552135,50040,343,0,0,41158253,7132211
balanced,4,8,4,97,1,1,0,40,50,1,0,0,376.80745774136676,50040,0,0,0,19402980,3361770
balanced,4,8,4,98,1,1,0,19,29,1,0,1,327.66909582077733,50040,0,0,0,11163658,1935559
balanced,4,8,4,99,1,1,0,28,76,1,0,1,341.19722908193523,50040,0,0,0,29471053,5108283
balanced,4,8,4,100,1,1,0,58,43,1,0,0,395.4095338946165,50040,0,0,0,16625066,2881550
balanced,4,8,4,101,1,1,0,16,59,1,0,1,337.7370966939636,50040,0,0,0,22862359,3961126
balanced,4,8,4,102,1,1,0,21,137,2,0,1,263.56469658916905,50040,281,0,0,53432688,9256302
balanced,4,8,4,103,1,1,0,36,480,8,0,0,432.40570935632746,50040,5084,0,0,185272221,32114171
balanced,4,8,4,104,1,1,0,13,31,1,0,1,279.74869690746425,50040,0,0,0,11965398,2074395
balanced,4,8,4,105,1,1,0,33,127,2,0,0,390.1095700865046,50040,569,0,0,49214045,8527272
balanced,4,8,4,106,1,1,0,29,20,1,0,1,341.56198106928434,50040,0,0,0,7640055,1326084
balanced,4,8,4,107,1,1,0,38,171,3,0,0,333.3017517098385,50040,902,0,0,66416073,11508343
balanced,4,8,4,108,1,1,0,42,291,5,0,0,386.2289737295007,50040,2602,0,0,112557282,19506688
balanced,4,8,4,109,1,1,0,32,36,1,0,1,395.8603823272656,50040,0,0,0,13763068,2387240
balanced,4,8,4,110,1,1,0,29,43,1,0,1,450.87074562755754,50040,0,0,0,16408427,2845252
balanced,4,8,4,111,1,1,0,41,117,2,0,0,399.172211537139,50040,649,0,0,45089308,7816916
balanced,4,8,4,112,1,1,0,27,33,1,0,1,350.18680762544875,50040,0,0,0,12672696,2197276
balanced,4,8,4,113,1,1,0,14,36,1,0,1,296.19970400883005,50040,0,0,0,13947201,2417395
balanced,4,8,4,114,1,1,0,50,302,5,0,0,387.6665689241093,50040,2036,0,0,117142282,20297647
balanced,4,8,4,115,1,1,0,14,52,1,0,1,293.4810215125387,50040,0,0,0,20198144,3500381
