first_gamma,later_gamma_low,later_gamma_high,S,R,shot,syndrome_converged,logical_action_match,logically_correct,selected_weight,iterations,first_leg_iterations,legs,solutions,first_leg_success,rescued
0.0,-0.24,0.66,1,4,120,1,1,1,337.2779180427266,182,80,3,1,False,True
0.0,-0.24,0.66,1,4,121,1,1,1,504.8219363682295,161,80,3,1,False,True
0.0,-0.24,0.66,1,4,122,1,1,1,327.0211432519825,155,80,3,1,False,True
0.0,-0.24,0.66,1,4,123,1,1,1,410.918827848422,222,80,4,1,False,True
0.0,-0.24,0.66,1,4,124,1,1,1,310.40209461309786,79,79,1,1,True,False
0.0,-0.24,0.66,1,4,125,1,1,1,401.2229556317029,138,80,2,1,False,True
0.0,-0.24,0.66,1,4,126,1,1,1,390.4539677749734,123,80,2,1,False,True
0.0,-0.24,0.66,1,4,127,1,1,1,427.5794724547505,161,80,3,1,False,True
0.0,-0.24,0.66,1,8,0,1,1,1,331.7879712499155,157,80,3,1,False,True
0.0,-0.24,0.66,1,8,1,1,1,1,381.3163557671398,235,80,4,1,False,True
0.0,-0.24,0.66,1,8,2,0,0,0,,500,80,8,0,False,False
0.0,-0.24,0.66,1,8,3,1,1,1,431.9346899709031,128,80,2,1,False,True
0.0,-0.24,0.66,1,8,4,1,1,1,390.4565399682235,164,80,3,1,False,True
0.0,-0.24,0.66,1,8,5,1,1,1,320.6615603294945,122,80,2,1,False,True
0.0,-0.24,0.66,1,8,6,1,1,1,297.8308689221501,96,80,2,1,False,True
0.0,-0.24,0.66,1,8,7,1,1,1,378.4128512133224,168,80,3,1,False,True
0.0,-0.24,0.66,1,8,8,1,1,1,397.5820693204111,125,80,2,1,False,True
0.0,-0.24,0.66,1,8,9,1,1,1,410.4618645138412,456,80,8,1,False,True
0.0,-0.24,0.66,1,8,10,1,1,1,395.59288380907685,229,80,4,1,False,True
0.0,-0.24,0.66,1,8,11,1,1,1,375.5771447742879,161,80,3,1,False,True
0.0,-0.24,0.66,1,8,12,1,1,1,458.6545593687107,249,80,4,1,False,True
0.0,-0.24,0.66,1,8,13,1,1,1,415.360830262527,108,80,2,1,False,True
0.0,-0.24,0.66,1,8,14,1,1,1,397.5328155140582,117,80,2,1,False,True
0.0,-0.24,0.66,1,8,15,1,1,1,394.44470527764196,424,80,7,1,False,True
0.0,-0.24,0.66,1,8,16,1,1,1,452.3248847030899,128,80,2,1,False,True
0.0,-0.24,0.66,1,8,17,1,1,1,368.43637521876474,470,80,8,1,False,True
0.0,-0.24,0.66,1,8,18,0,1,0,,500,80,8,0,False,False
0.0,-0.24,0.66,1,8,19,1,1,1,387.6683831913191,110,80,2,1,False,True
0.0,-0.24,0.66,1,8,20,1,1,1,309.79995896247976,160,80,3,1,False,True
0.0,-0.24,0.66,1,8,21,1,1,1,273.27694131595507,28,28,1,1,True,False
0.0,-0.24,0.66,1,8,22,1,1,1,356.4964698308506,175,80,3,1,False,True
0.0,-0.24,0.66,1,8,23,1,1,1,438.7477816801032,300,80,5,1,False,True
0.0,-0.24,0.66,1,8,24,1,1,1,317.4749249619391,415,80,7,1,False,True
