sample_seed,shot,engine,decoder_seed,iterations,relay_legs,syndrome_converged,logically_correct,syndrome_valid_logical_error,selected_weight
20260809,84,1,1009187,104,2,1,1,0,380.5227292543152
20260809,84,2,2009190,110,2,1,1,0,398.7859279159429
20260809,84,3,3009193,125,2,1,1,0,401.5865259258487
20260809,85,0,9185,35,1,1,1,0,218.80674915219106
20260809,85,1,1009188,35,1,1,1,0,218.80674915219106
20260809,85,2,2009191,35,1,1,1,0,218.80674915219106
20260809,85,3,3009194,35,1,1,1,0,218.80674915219106
20260809,86,0,9186,77,1,1,1,0,352.4878697897103
20260809,86,1,1009189,77,1,1,1,0,352.4878697897103
20260809,86,2,2009192,77,1,1,1,0,352.4878697897103
20260809,86,3,3009195,77,1,1,1,0,352.4878697897103
20260809,87,0,9187,127,2,1,1,0,349.9597756293947
20260809,87,1,1009190,99,2,1,1,0,308.6099534110858
20260809,87,2,2009193,117,2,1,1,0,332.7416332648067
20260809,87,3,3009196,130,2,1,1,0,317.0396877596786
20260809,88,0,9188,71,1,1,1,0,377.12830770045304
20260809,88,1,1009191,71,1,1,1,0,377.12830770045304
20260809,88,2,2009194,71,1,1,1,0,377.12830770045304
20260809,88,3,3009197,71,1,1,1,0,377.12830770045304
20260809,89,0,9189,123,2,1,1,0,389.90879686591927
20260809,89,1,1009192,110,2,1,1,0,386.8264544726145
20260809,89,2,2009195,114,2,1,1,0,388.82780721831705
20260809,89,3,3009198,122,2,1,1,0,382.2204483996916
20260809,90,0,9190,116,2,1,1,0,319.90285662962106
20260809,90,1,1009193,107,2,1,1,0,327.46211409407533
20260809,90,2,2009196,107,2,1,1,0,325.12349548841627
20260809,90,3,3009199,101,2,1,1,0,333.29653870773126
20260809,91,0,9191,252,4,1,1,0,484.66981925192107
20260809,91,1,1009194,356,6,1,1,0,531.5983448733455
20260809,91,2,2009197,140,2,1,1,0,507.6879744404381
20260809,91,3,3009200,161,3,1,1,0,506.68174443380326
20260809,92,0,9192,41,1,1,1,0,317.1575995245718
20260809,92,1,1009195,41,1,1,1,0,317.1575995245718
20260809,92,2,2009198,41,1,1,1,0,317.1575995245718
20260809,92,3,3009201,41,1,1,1,0,317.1575995245718
20260809,93,0,9193,43,1,1,1,0,295.6517768406006
20260809,93,1,1009196,43,1,1,1,0,295.6517768406006
20260809,93,2,2009199,43,1,1,1,0,295.6517768406006
20260809,93,3,3009202,43,1,1,1,0,295.6517768406006
20260809,94,0,9194,119,2,1,1,0,355.54249732921335
20260809,94,1,1009197,99,2,1,1,0,355.9021104828897
20260809,94,2,2009200,97,2,1,1,0,369.1335653508252
20260809,94,3,3009203,110,2,1,1,0,380.13321915273923
20260809,95,0,9195,34,1,1,1,0,348.0778008716408
20260809,95,1,1009198,34,1,1,1,0,348.0778008716408
20260809,95,2,2009201,34,1,1,1,0,348.0778008716408
20260809,95,3,3009204,34,1,1,1,0,348.0778008716408
20260809,96,0,9196,93,2,1,1,0,318.3857792938925
20260809,96,1,1009199,106,2,1,1,0,323.0316466676724
20260809,96,2,2009202,117,2,1,1,0,314.5035832201197
20260809,96,3,3009205,177,3,1,1,0,346.67491057101967
20260809,97,0,9197,107,2,1,1,0,402.9985009006441
20260809,97,1,1009200,101,2,1,1,0,387.50029049573106
20260809,97,2,2009203,162,3,1,1,0,387.6641193566347
20260809,97,3,3009206,167,3,1,1,0,387.90529566099883
20260809,98,0,9198,56,1,1,1,0,343.75970392707166
20260809,98,1,1009201,56,1,1,1,0,343.75970392707166
20260809,98,2,2009204,56,1,1,1,0,343.75970392707166
20260809,98,3,3009207,56,1,1,1,0,343.75970392707166
20260809,99,0,9199,61,1,1,1,0,318.1060524796931
20260809,99,1,1009202,61,1,1,1,0,318.1060524796931
20260809,99,2,2009205,61,1,1,1,0,318.1060524796931
20260809,99,3,3009208,61,1,1,1,0,318.1060524796931
20260809,100,0,9200,44,1,1,1,0,413.8353972973408
20260809,100,1,1009203,44,1,1,1,0,413.8353972973408
20260809,100,2,2009206,44,1,1,1,0,413.8353972973408
20260809,100,3,3009209,44,1,1,1,0,413.8353972973408
20260809,101,0,9201,133,2,1,1,0,342.85138276676423
20260809,101,1,1009204,292,5,1,1,0,350.7364020010834
20260809,101,2,2009207,358,6,1,1,0,355.5838824403415
20260809,101,3,3009210,99,2,1,1,0,325.16167111503813
